GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.MyListSupplier,135,0,14,0,39,0,15,0,3,0
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.new Supplier() {...},42,0,0,0,7,0,2,0,2,0
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.BaseConsumer,102,119,20,11,12,21,16,8,1,3
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcFunctions,167,108,0,0,29,18,28,18,28,18
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.ObjectConsumer,8,14,0,0,2,4,1,1,1,1
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.MySupplier,129,15,16,0,36,5,15,1,2,1
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter.JsonConsumer,0,35,0,0,0,9,0,2,0,2
Integrations: Apache Edgent,org.apache.plc4x.edgent,PlcConnectionAdapter,19,77,1,5,3,18,4,11,3,9
