GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Utils: Connection Pool,org.apache.plc4x.java.utils.connectionpool,PooledPlcDriverManager,30,202,3,11,12,43,6,11,3,7
PLC4J: Utils: Connection Pool,org.apache.plc4x.java.utils.connectionpool,PoolKey,9,85,3,7,3,13,5,7,2,5
PLC4J: Utils: Connection Pool,org.apache.plc4x.java.utils.connectionpool,PooledPlcConnectionFactory,0,26,0,0,0,7,0,5,0,5
PLC4J: Utils: Connection Pool,org.apache.plc4x.java.utils.connectionpool,PooledPlcDriverManager.new PooledPlcConnectionFactory() {...},0,35,0,2,0,8,0,3,0,2
