GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Utils: Raw-Sockets,org.apache.plc4x.java.utils.rawsockets,RawSocketException,12,0,0,0,6,0,3,0,3,0
PLC4J: Utils: Raw-Sockets,org.apache.plc4x.java.utils.rawsockets,RawSocket.new AbstractPacket.AbstractBuilder() {...},13,0,0,0,2,0,2,0,2,0
PLC4J: Utils: Raw-Sockets,org.apache.plc4x.java.utils.rawsockets,RawSocket,551,0,26,0,142,0,27,0,14,0
PLC4J: Utils: Raw-Sockets,org.apache.plc4x.java.utils.rawsockets.netty,RawSocketChannel,30,0,0,0,17,0,15,0,15,0
PLC4J: Utils: Raw-Sockets,org.apache.plc4x.java.utils.rawsockets.netty,RawSocketAddress,9,0,0,0,4,0,2,0,2,0
