GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Utils: Object PLC Mapping,org.apache.plc4x.java.opm,PlcEntityManager,238,616,11,53,43,139,9,40,0,17
PLC4J: Utils: Object PLC Mapping,org.apache.plc4x.java.opm,OpmUtils,7,43,0,2,2,13,0,3,0,2
PLC4J: Utils: Object PLC Mapping,org.apache.plc4x.java.opm,OPMException,9,0,0,0,4,0,2,0,2,0
