GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Integrations: Apache Camel,org.apache.plc4x.camel,Plc4XPollingConsumer,169,0,4,0,43,0,15,0,13,0
Integrations: Apache Camel,org.apache.plc4x.camel,Plc4XComponent,0,26,0,0,0,7,0,3,0,3
Integrations: Apache Camel,org.apache.plc4x.camel,Plc4XProducer,10,180,0,6,0,49,2,7,2,4
Integrations: Apache Camel,org.apache.plc4x.camel,Constants,0,7,0,0,0,2,0,1,0,1
Integrations: Apache Camel,org.apache.plc4x.camel,Plc4XConsumer,95,94,4,0,22,22,12,5,10,5
Integrations: Apache Camel,org.apache.plc4x.camel,Plc4XEndpoint,36,93,9,5,6,23,6,15,1,13
