GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Integrations: Apache Kafka,org.apache.plc4x.kafka,Plc4xSinkTask,163,0,8,0,43,0,14,0,10,0
Integrations: Apache Kafka,org.apache.plc4x.kafka,Plc4xSinkConnector,59,0,2,0,16,0,9,0,8,0
Integrations: Apache Kafka,org.apache.plc4x.kafka,Plc4xSourceTask,359,0,30,0,93,0,29,0,14,0
Integrations: Apache Kafka,org.apache.plc4x.kafka,Plc4xSourceConnector,122,0,2,0,28,0,9,0,8,0
Integrations: Apache Kafka,org.apache.plc4x.kafka.util,VersionUtil,10,0,0,0,4,0,2,0,2,0
